User: USER,,,,,,,,,,,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data,,,,,,,,,,,,
Test ID: 3643,,,,,,,,,,,,
Test Name: Architagfp4,,,,,,,,,,,,
Date: 06/11/2025,,,,,,,,,,,,
Time: 11:26:47,,,,,,,,,,,,
Fluorescence (FI) spectrum,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Raw Data (Em Spectrum) 472-16 / 500-10,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,16986,12970,17345,16725,18340,17357,12875,16587,2948,124,86,85
B,88,86,92,85,23565,19559,20629,15511,26726,18117,9611,92
C,99,101,97,102,104,102,100,102,76749,56272,37518,55457
D,67555,60355,50101,32823,6223,123,90,89,86,89,87,94
E,25731,20356,20637,18778,16895,15091,13055,2186,107,102,107,101
F,95,103,102,103,40917,37799,37066,31489,28305,24434,15836,1195
G,109,96,95,95,97,96,102,91,25185,24161,24378,16776
H,18701,17672,8731,201,101,106,102,99,103,98,103,102
,,,,,,,,,,,,
,Raw Data (Em Spectrum) 472-16 / 501-10,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,17649.4704,13405.422,18056.2418,17360.9232,19054.1342,18071.2703,13356.3289,17139.5033,3050.7855,133.2527,84.1596,84.1596
B,82.1558,90.171,87.1653,91.1729,24458.3828,20515.9063,21436.6524,16143.6147,27644.4248,18817.6858,9935.8423,95.1805
C,98.1862,99.1881,101.1919,103.1957,104.1976,100.19,96.1824,98.1862,80773.178,58850.6041,39015.9898,57946.8903
D,70098.9354,62782.0597,52039.6879,33935.3549,6442.217,122.2318,98.1862,91.1729,86.1634,89.1691,82.1558,85.1615
E,26812.8478,21153.1147,21359.5061,19535.0462,17608.3925,15702.7787,13497.5968,2285.3339,103.1957,101.1919,102.1938,97.1843
F,93.1767,100.19,102.1938,102.1938,42867.2934,39268.4686,38670.3343,32709.0293,29516.9759,25378.127,16434.1657,1214.3028
G,97.1843,96.1824,96.1824,95.1805,95.1805,100.19,98.1862,93.1767,26230.7439,25271.9256,25288.9579,17369.9403
H,19395.7821,18402.8992,9112.2805,204.3876,99.1881,105.1995,101.1919,103.1957,96.1824,97.1843,95.1805,97.1843
,,,,,,,,,,,,
,Raw Data (Em Spectrum) 472-16 / 502-10,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,18249.084,13840.3944,18581.3418,17843.5488,19521.9024,18546.2088,13650.6762,17566.5,3133.8636,139.5282,81.3078,89.3382
B,91.3458,90.342,84.3192,89.3382,25144.1862,21010.5378,22012.3302,16534.5936,28368.3918,19314.1158,10160.4636,90.342
C,105.399,103.3914,104.3952,103.3914,107.4066,100.38,101.3838,102.3876,83134.716,60672.6834,40183.1178,59618.6934
D,72166.1934,64358.637,53266.647,34840.8942,6597.9774,127.4826,93.3534,89.3382,89.3382,84.3192,82.3116,84.3192
E,27547.2834,21810.5664,21967.1592,19919.4072,18004.1568,16202.3358,13855.4514,2329.8198,103.3914,98.3724,108.4104,96.3648
F,104.3952,102.3876,99.3762,106.4028,44287.656,40351.7562,39943.2096,33646.3722,30308.7372,26060.6556,16810.6386,1263.7842
G,97.3686,97.3686,92.3496,97.3686,98.3724,92.3496,93.3534,94.3572,27073.4898,25954.2528,26091.7734,17850.5754
H,19941.4908,18873.4476,9242.9904,206.7828,106.4028,108.4104,95.361,99.3762,100.38,98.3724,97.3686,102.3876
,,,,,,,,,,,,
,Raw Data (Em Spectrum) 472-16 / 503-10,,,,,,,,,,,
