

User: USER,,,,,,,,,,,,
Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data,,,,,,,,,,,,
Test ID: 3644,,,,,,,,,,,,
Test Name: Architagfp4,,,,,,,,,,,,
Date: 06/11/2025,,,,,,,,,,,,
Time: 11:44:48,,,,,,,,,,,,
Fluorescence (FI) spectrum,,,,,,,,,,,,



,Raw Data (Em Spectrum) 472-16 / 500-10,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,27915,23386,17778,16054,14379,14629,16041,1849,102,100,100,98
B,105,108,104,96,43598,49281,45376,46925,33075,28825,18746,6021
C,218,101,91,90,91,92,86,83,26330,24902,24397,25414
D,22837,21405,19377,14165,2651,101,93,91,84,86,87,92
E,14492,16456,17963,14411,15753,15342,14432,9585,3827,100,89,83
F,93,90,95,95,26879,27877,25093,23842,21496,18014,8897,662
G,115,105,104,106,107,99,110,105,104,103,100,96
H,97,97,104,105,104,102,106,103,98,97,94,97

,Raw Data (Em Spectrum) 472-16 / 501-10,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,28968.9366,24298.0788,18452.9942,16638.5533,14803.0725,15169.7679,16759.7832,1893.591,101.1919,102.1938,94.1786,100.19
B,100.19,108.2052,102.1938,96.1824,45477.2429,51264.2173,46993.1176,48742.435,34309.0636,29943.7853,19425.8391,6246.8465
C,224.4256,95.1805,86.1634,90.171,94.1786,90.171,86.1634,89.1691,27443.0429,25865.0504,25470.3018,26354.9795
D,23658.8666,22183.0679,20116.1482,14645.7742,2746.2079,101.1919,88.1672,87.1653,88.1672,81.1539,84.1596,82.1558
E,15005.4563,17064.3608,18675.416,14856.1732,16391.084,15895.1435,14980.4088,9932.8366,3993.5734,93.1767,85.1615,89.1691
F,94.1786,92.1748,92.1748,96.1824,27908.9264,29028.0487,25988.2841,24772.9794,22265.2237,18555.188,9302.6415,689.3072
G,112.2128,113.2147,101.1919,100.19,103.1957,104.1976,103.1957,99.1881,105.1995,98.1862,97.1843,99.1881
H,101.1919,98.1862,99.1881,95.1805,99.1881,98.1862,100.19,99.1881,95.1805,103.1957,97.1843,97.1843

,Raw Data (Em Spectrum) 472-16 / 502-10,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,29859.0348,24958.4832,18865.4172,17001.3606,15214.5966,15587.0064,17049.543,1941.3492,106.4028,105.399,99.3762,101.3838
B,108.4104,105.399,98.3724,103.3914,46840.3194,52606.1466,48608.0112,50032.4034,35281.5624,30581.7708,19870.221,6403.2402
C,221.8398,99.3762,88.3344,88.3344,92.3496,91.3458,88.3344,87.3306,28147.5558,26592.6696,26096.7924,27177.885
D,24200.6142,22683.8724,20520.6834,15040.9392,2768.4804,98.3724,96.3648,87.3306,83.3154,89.3382,84.3192,88.3344
E,15397.2882,17382.8046,19162.542,15265.7904,16734.3498,16331.826,15279.8436,10250.8056,4056.3558,92.3496,88.3344,89.3382
F,94.3572,94.3572,91.3458,91.3458,28757.8662,29678.3508,26663.9394,25424.2464,22845.4842,19113.3558,9502.9746,697.641
G,113.4294,104.3952,104.3952,102.3876,107.4066,106.4028,106.4028,101.3838,93.3534,98.3724,96.3648,93.3534
H,97.3686,96.3648,98.3724,97.3686,97.3686,101.3838,96.3648,97.3686,96.3648,96.3648,88.3344,93.3534

,Raw Data (Em Spectrum) 472-16 / 503-10,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,30632.6727,25671.5739,19383.693,17450.3532,15603.5208,15922.3911,17440.2942,1961.505,104.6136,107.6313,96.5664,99.5841
