group name,plate number,well ranges
A1,P1,A1-B4
A2,P1,B5-C8
A3,P1,C9-D12
A4,P1,E1-F4
A5,P1,F5-G8
A6,P1,G9-H12
A7,P2,A1-B4
A8,P2,B5-C8
A9,P2,C9-D12
A10,P2,E1-F4
A11,P2,F5-G8
A12,P2,G9-H12
A13,P3,A1-B4
A14,P3,B5-C8
A15,P3,C9-D12
A16,P3,E1-F4
A17,P3,F5-G8
A18,P3,G9-H12
A19,P4,A1-B4
A20,P4,B5-C8
A21,P4,C9-D12
A22,P4,E1-F4
A23,P4,F5-G8
A24,P4,G9-H12
A25,P5,A1-B4
A26,P5,B5-C8
A27,P5,C9-D12
B1,P5,E1-F4
B2,P5,F5-G8
B3,P5,G9-H12
B4,P6,A1-B4
B5,P6,B5-C8
B6,P6,C9-D12
B7,P6,E1-F4
B8,P6,F5-G8
B9,P6,G9-H12
B10,P7,A1-B4
B11,P7,B5-C8
B12,P7,C9-D12
B13,P7,E1-F4
B14,P7,F5-G8
B15,P7,G9-H12
B16,P8,A1-B4
B17,P8,B5-C8
B18,P8,C9-D12
B19,P8,E1-F4
B20,P8,F5-G8
B21,P8,G9-H12
B22,P9,A1-B4
B23,P9,B5-C8
B24,P9,C9-D12
B25,P9,E1-F4
B26,P9,F5-G8
B27,P9,G9-H12
B28,P10,A1-B4
